age,salary,rupiah_salary_month,education,dependents,house_ownership,expenses,rupiah_expenses,savings,rupiah_savings,employment_status,vehicle_ownership,area,investment,rupiah_investment,debt,rupiah_debt
57,3.57," Rp3,570,000 ",Diploma,3,Owned,3.08," Rp3,080,000 ",9.14," Rp9,140,054 ",Employment,Motorcycle,Suburban,3.31," Rp3,310,000 ",2.47," Rp2,470,000.00 "
41,1.26," Rp1,260,000 ",SHS,1,Leased,9.55," Rp9,554,222 ",36.89," Rp36,890,000 ",Retired,Motorcycle,Urban,21.04," Rp21,040,000 ",2.79," Rp2,791,140.66 "
20,4.43," Rp4,430,000 ",Master,3,Parents,1.53," Rp1,530,000 ",0.18," Rp180,000 ",Employment,Motorcycle,Rural,3.54," Rp3,540,000 ",3.10," Rp3,100,624.01 "
39,1.66," Rp1,660,000 ",JHS,1,Owned,0.8," Rp800,000 ",32.16," Rp32,160,000 ",Student,Motorcycle,Urban,12.1," Rp12,100,000 ",2.86," Rp2,856,390.20 "
19,3.56," Rp3,560,000 ",SHS,3,Owned,5.51," Rp5,505,204 ",9.78," Rp9,777,893 ",Unemployment,Car,Urban,3.58," Rp3,580,000 ",1.15," Rp1,150,000.00 "
41,3.16," Rp3,160,000 ",SHS,2,Leased,1.67," Rp1,670,000 ",9.48," Rp9,481,104 ",Retired,No Vehicle,Suburban,2.84," Rp2,840,000 ",19.84," Rp19,840,000.00 "
61,8.41," Rp8,410,000 ",SHS,4,Parents,8.12," Rp8,120,000 ",31.36," Rp31,360,000 ",Retired,Motorcycle,Suburban,5.41," Rp5,410,000 ",2.02," Rp2,022,252.57 "
47,9.13," Rp9,130,000 ",Diploma,2,Owned,4.33," Rp4,330,000 ",2.71," Rp2,710,000 ",Employment,Motorcycle,Suburban,28.55," Rp28,550,000 ",0.18," Rp180,000.00 "
55,1.83," Rp1,830,000 ",JHS,2,Owned,1.42," Rp1,420,000 ",4.55," Rp4,550,000 ",Employment,Motorcycle,Rural,17.63," Rp17,630,000 ",0.38," Rp380,000.00 "
19,3.28," Rp3,280,000 ",Bachelor,1,Contract,3.06," Rp3,060,000 ",6.02," Rp6,015,091 ",Unemployment,No Vehicle,Suburban,3.25," Rp3,250,000 ",2.05," Rp2,050,000.00 "
38,3.34," Rp3,340,000 ",Doctoral,0,Owned,2.65," Rp2,650,000 ",8.98," Rp8,980,125 ",Self-Employment,Motorcycle,Urban,0.00, Rp-   ,0.21," Rp210,000.00 "
50,1.82," Rp1,820,000 ",Bachelor,1,Leased,0.57," Rp570,000 ",2.79," Rp2,790,000 ",Retired,No Vehicle,Suburban,9.37," Rp9,370,000 ",0.92," Rp920,000.00 "
29,9.01," Rp9,010,000 ",Bachelor,3,Owned,5.65," Rp5,650,000 ",16.61," Rp16,610,000 ",Unemployment,Motorcycle,Urban,5.58," Rp5,580,000 ",5.66," Rp5,660,000.00 "
39,7.14," Rp7,140,000 ",SHS,1,Owned,4.98," Rp4,980,000 ",27.98," Rp27,980,000 ",Unemployment,Motorcycle,Urban,20.57," Rp20,570,000 ",2.1," Rp2,100,000.00 "
61,2.06," Rp2,060,000 ",SHS,3,Contract,1.25," Rp1,250,000 ",27.2," Rp27,200,000 ",Self-Employment,Motorcycle,Suburban,7.95," Rp7,950,000 ",2.65," Rp2,650,000.00 "
42,3.28," Rp3,280,000 ",SHS,2,Owned,2.6," Rp2,600,000 ",19.78," Rp19,780,000 ",Self-Employment,Car,Rural,0.00, Rp-   ,15.26," Rp15,260,000.00 "
66,1.56," Rp1,560,000 ",ES,2,Leased,1.19," Rp1,190,000 ",56.58," Rp56,580,000 ",Employment,Motorcycle and Car,Urban,2.95," Rp2,950,000 ",5.19," Rp5,190,000.00 "
44,5.95," Rp5,950,000 ",Master,3,Owned,2.79," Rp2,790,000 ",13.16," Rp13,160,000 ",Unemployment,Motorcycle,Rural,11.55," Rp11,550,000 ",1.73," Rp1,730,000.00 "
59,1.65," Rp1,650,000 ",JHS,3,Owned,1.61," Rp1,610,000 ",42.45," Rp42,450,000 ",Student,Motorcycle,Urban,5.33," Rp5,330,000 ",2.08," Rp2,080,000.00 "
45,22.32," Rp22,320,000 ",Master,3,Leased,9.93," Rp9,930,000 ",5.69," Rp5,686,415 ",Self-Employment,Motorcycle,Urban,1.12," Rp1,120,000 ",14.55," Rp14,550,000.00 "
33,8.59," Rp8,590,000 ",ES,0,Owned,6.13," Rp6,130,000 ",26.75," Rp26,750,000 ",Self-Employment,Motorcycle,Urban,0.00, Rp-   ,2.95," Rp2,950,000.00 "
32,3.47," Rp3,470,000 ",Bachelor,1,Owned,3.4," Rp3,400,000 ",12.5," Rp12,500,000 ",Student,No Vehicle,Suburban,4.15," Rp4,150,000 ",2.88," Rp2,880,000.00 "
64,5.32," Rp5,320,000 ",JHS,0,Parents,4.93," Rp4,930,000 ",3.67," Rp3,670,000 ",Self-Employment,Car,Urban,3.88," Rp3,880,000 ",1.61," Rp1,610,000.00 "
68,13.11," Rp13,110,000 ",ES,2,Leased,9.03," Rp9,030,000 ",8.36," Rp8,360,620 ",Employment,Motorcycle,Rural,9.87," Rp9,870,000 ",1.93," Rp1,930,000.00 "
61,5.04," Rp5,040,000 ",Bachelor,1,Owned,5.09," Rp5,090,000 ",22.93," Rp22,930,000 ",Student,Motorcycle,Urban,5.21," Rp5,210,000 ",7.1," Rp7,100,000.00 "
69,1.96," Rp1,960,000 ",SHS,5,Contract,1.85," Rp1,850,000 ",9.45," Rp9,450,000 ",Student,Motorcycle,Urban,1.19," Rp1,190,000 ",8.38," Rp8,380,000.00 "
20,3.38," Rp3,380,000 ",Bachelor,3,Owned,9.71," Rp9,705,745 ",16.76," Rp16,760,000 ",Retired,Motorcycle and Car,Rural,0.00, Rp-   ,1.4," Rp1,400,000.00 "
54,10.26," Rp10,260,000 ",Diploma,2,Owned,11.35," Rp11,350,000 ",5.62," Rp5,619,252 ",Student,Car,Urban,7.09," Rp7,090,000 ",13.97," Rp13,970,000.00 "
68,6.17," Rp6,170,000 ",JHS,2,Owned,2.64," Rp2,640,000 ",9.89," Rp9,885,273 ",Unemployment,No Vehicle,Rural,7.27," Rp7,270,000 ",1.91," Rp1,910,000.00 "
24,6.26," Rp6,260,000 ",Master,1,Contract,3.9," Rp3,900,000 ",8.12," Rp8,123,070 ",Student,Car,Urban,0.38," Rp380,000 ",6.19," Rp6,190,000.00 "
38,11.08," Rp11,080,000 ",SHS,1,Parents,10.28," Rp10,280,000 ",8.33," Rp8,325,630 ",Unemployment,Car,Rural,0.00, Rp-   ,4.82," Rp4,820,000.00 "
26,12.22," Rp12,220,000 ",Bachelor,1,Parents,13.27," Rp13,270,000 ",29.91," Rp29,910,000 ",Unemployment,Motorcycle,Suburban,10.7," Rp10,700,000 ",0.15," Rp150,000.00 "
56,13.62," Rp13,620,000 ",SHS,0,Leased,8.04," Rp8,040,000 ",10.73," Rp10,730,000 ",Student,Car,Suburban,4.37," Rp4,370,000 ",9.88," Rp9,880,000.00 "
35,1.5," Rp1,500,000 ",Diploma,3,Owned,1.21," Rp1,210,000 ",55.21," Rp55,210,000 ",Employment,Motorcycle,Urban,4.08," Rp4,080,000 ",4.99," Rp4,990,000.00 "
21,4.93," Rp4,930,000 ",SHS,5,Owned,1.53," Rp1,530,000 ",34.81," Rp34,810,000 ",Self-Employment,No Vehicle,Urban,0.48," Rp480,000 ",4.33," Rp4,330,000.00 "
42,7.75," Rp7,750,000 ",JHS,1,Leased,4.91," Rp4,910,000 ",27.48," Rp27,480,000 ",Self-Employment,Motorcycle,Urban,4.9," Rp4,900,000 ",4.02," Rp4,020,000.00 "
31,8.07," Rp8,070,000 ",SHS,3,Owned,4.82," Rp4,820,000 ",5.52," Rp5,520,000 ",Unemployment,Car,Urban,0.6," Rp600,000 ",5.47," Rp5,470,000.00 "
67,5.67," Rp5,670,000 ",SHS,2,Owned,6.0," Rp6,000,000 ",9.01," Rp9,010,000 ",Retired,Motorcycle,Urban,3.32," Rp3,320,000 ",0.43," Rp430,000.00 "
26,1.91," Rp1,910,000 ",SHS,2,Owned,0.7," Rp700,000 ",37.81," Rp37,810,000 ",Retired,Car,Rural,0.00, Rp-   ,7.08," Rp7,080,000.00 "
43,8.98," Rp8,980,000 ",Diploma,0,Owned,3.2," Rp3,200,000 ",0.47," Rp470,000 ",Student,Motorcycle,Suburban,18.19," Rp18,190,000 ",1.82," Rp1,820,000.00 "
19,7.37," Rp7,370,000 ",Diploma,0,Leased,5.15," Rp5,150,000 ",30.42," Rp30,420,000 ",Retired,Motorcycle,Urban,2.21," Rp2,210,000 ",2.74," Rp2,740,000.00 "
37,1.45," Rp1,450,000 ",ES,1,Owned,0.97," Rp970,000 ",10.36," Rp10,360,000 ",Student,Motorcycle,Urban,1.35," Rp1,350,000 ",0.21," Rp210,000.00 "
45,4.12," Rp4,120,000 ",SHS,3,Owned,1.84," Rp1,840,000 ",32.12," Rp32,120,000 ",Self-Employment,No Vehicle,Suburban,18.91," Rp18,910,000 ",0.74," Rp740,000.00 "
64,1.96," Rp1,960,000 ",SHS,3,Owned,1.05," Rp1,050,000 ",16.08," Rp16,080,000 ",Student,Motorcycle,Rural,9.73," Rp9,730,000 ",8.22," Rp8,220,000.00 "
24,3.06," Rp3,060,000 ",ES,2,Leased,3.6," Rp3,600,000 ",14.97," Rp14,970,000 ",Student,Motorcycle,Suburban,30.17," Rp30,170,000 ",2.28," Rp2,280,000.00 "
61,1.09," Rp1,090,000 ",JHS,2,Leased,0.83," Rp830,000 ",24.19," Rp24,190,000 ",Student,Motorcycle,Suburban,0.00, Rp-   ,6.5," Rp6,500,000.00 "
25,3.56," Rp3,560,000 ",Bachelor,1,Owned,1.35," Rp1,350,000 ",8.73," Rp8,727,303 ",Unemployment,No Vehicle,Suburban,0.00, Rp-   ,2.34," Rp2,340,000.00 "
64,4.99," Rp4,990,000 ",Doctoral,3,Leased,1.72," Rp1,720,000 ",23.65," Rp23,650,000 ",Self-Employment,Motorcycle,Rural,4.48," Rp4,480,000 ",10.14," Rp10,140,000.00 "
52,5.83," Rp5,830,000 ",Bachelor,2,Owned,1.97," Rp1,970,000 ",5.70," Rp5,698,794 ",Student,Motorcycle,Suburban,13.69," Rp13,690,000 ",3.37," Rp3,370,000.00 "
31,6.45," Rp6,450,000 ",ES,1,Owned,4.19," Rp4,190,000 ",7.74," Rp7,740,000 ",Retired,Motorcycle,Suburban,8.73," Rp8,730,000 ",1.94," Rp1,940,000.00 "
34,10.05," Rp10,050,000 ",ES,1,Leased,5.57," Rp5,569,790 ",37.37," Rp37,370,000 ",Employment,No Vehicle,Rural,1.73," Rp1,730,000 ",7.78," Rp7,780,000.00 "
53,2.21," Rp2,210,000 ",Bachelor,2,Leased,2.32," Rp2,320,000 ",14.71," Rp14,710,000 ",Retired,Car,Urban,1.69," Rp1,690,000 ",4.21," Rp4,210,000.00 "
67,1.64," Rp1,640,000 ",SHS,5,Owned,1.04," Rp1,040,000 ",30.6," Rp30,600,000 ",Student,Motorcycle and Car,Suburban,10.31," Rp10,310,000 ",4.15," Rp4,150,000.00 "
57,10.54," Rp10,540,000 ",Bachelor,2,Parents,10.51," Rp10,510,000 ",109.06," Rp109,060,000 ",Unemployment,Motorcycle,Suburban,3.18," Rp3,180,000 ",6.41," Rp6,410,000.00 "
21,1.85," Rp1,850,000 ",Master,2,Leased,1.81," Rp1,810,000 ",20.65," Rp20,650,000 ",Employment,No Vehicle,Urban,7.85," Rp7,850,000 ",22.08," Rp22,080,000.00 "
19,19.4," Rp19,400,000 ",Diploma,2,Leased,14.25," Rp14,250,000 ",6.52," Rp6,520,000 ",Unemployment,Motorcycle,Urban,2.14," Rp2,140,000 ",2.32," Rp2,320,000.00 "
23,10.24," Rp10,240,000 ",JHS,5,Leased,6.8," Rp6,800,000 ",40.13," Rp40,130,000 ",Self-Employment,Motorcycle,Suburban,5.44," Rp5,440,000 ",3.81," Rp3,810,000.00 "
59,4.47," Rp4,470,000 ",Bachelor,0,Leased,8.62," Rp8,616,758 ",6.4," Rp6,400,000 ",Student,Motorcycle,Urban,0.00, Rp-   ,1.76," Rp1,760,000.00 "
21,20.93," Rp20,930,000 ",Master,1,Parents,11.53," Rp11,530,000 ",6.03," Rp6,030,000 ",Retired,No Vehicle,Suburban,11.73," Rp11,730,000 ",2.45," Rp2,450,000.00 "
46,1.51," Rp1,510,000 ",Diploma,1,Owned,0.91," Rp910,000 ",1.54," Rp1,540,000 ",Employment,Car,Urban,6.68," Rp6,680,000 ",0.32," Rp320,000.00 "
35,2.81," Rp2,810,000 ",Diploma,0,Owned,2.9," Rp2,900,000 ",1.64," Rp1,640,000 ",Unemployment,No Vehicle,Urban,6.76," Rp6,760,000 ",2.54," Rp2,540,000.00 "
43,6.08," Rp6,080,000 ",SHS,3,Owned,4.85," Rp4,850,000 ",39.66," Rp39,660,000 ",Unemployment,Motorcycle,Urban,4.9," Rp4,900,000 ",1.09," Rp1,090,000.00 "
61,3.15," Rp3,150,000 ",SHS,1,Contract,1.51," Rp1,510,000 ",5.12," Rp5,123,160 ",Retired,Motorcycle,Suburban,0.00, Rp-   ,4.69," Rp4,690,000.00 "
51,14.18," Rp14,180,000 ",Bachelor,3,Owned,5.48," Rp5,480,000 ",2.3," Rp2,300,000 ",Self-Employment,Motorcycle,Suburban,2.09," Rp2,090,000 ",0.22," Rp220,000.00 "
27,1.34," Rp1,340,000 ",Master,1,Owned,1.0," Rp1,000,000 ",8.7," Rp8,700,000 ",Retired,Motorcycle,Suburban,0.00, Rp-   ,0.69," Rp690,000.00 "
53,4.99," Rp4,990,000 ",Diploma,2,Owned,4.49," Rp4,490,000 ",25.0," Rp25,000,000 ",Employment,Motorcycle,Suburban,0.00, Rp-   ,3.85," Rp3,850,000.00 "
31,5.47," Rp5,470,000 ",Bachelor,1,Contract,5.67," Rp5,670,000 ",8.3," Rp8,300,000 ",Unemployment,Motorcycle,Suburban,12.8," Rp12,800,000 ",2.63," Rp2,630,000.00 "
48,6.29," Rp6,290,000 ",JHS,5,Leased,6.4," Rp6,400,000 ",7.4," Rp7,400,000 ",Employment,No Vehicle,Suburban,0.00, Rp-   ,2.63," Rp2,630,000.00 "
65,2.48," Rp2,480,000 ",JHS,1,Owned,2.58," Rp2,580,000 ",5.52," Rp5,522,827 ",Student,Motorcycle,Urban,3.64," Rp3,640,000 ",3.9," Rp3,900,000.00 "
32,3.27," Rp3,270,000 ",SHS,5,Leased,2.3," Rp2,300,000 ",0.43," Rp430,000 ",Employment,No Vehicle,Urban,19.16," Rp19,160,000 ",1.32," Rp1,320,000.00 "
25,10.28," Rp10,280,000 ",JHS,0,Parents,11.09," Rp11,090,000 ",13.51," Rp13,510,000 ",Unemployment,Car,Rural,17.38," Rp17,380,000 ",0.78," Rp780,000.00 "
31,2.08," Rp2,080,000 ",Diploma,2,Owned,1.46," Rp1,460,000 ",92.14," Rp92,140,000 ",Employment,No Vehicle,Rural,0.1," Rp100,000 ",0.45," Rp450,000.00 "
40,9.77," Rp9,770,000 ",SHS,1,Contract,4.41," Rp4,410,000 ",5.07," Rp5,068,642 ",Employment,Motorcycle,Suburban,11.17," Rp11,170,000 ",10.58," Rp10,580,000.00 "
57,5.14," Rp5,140,000 ",Bachelor,2,Owned,3.38," Rp3,380,000 ",1.46," Rp1,460,000 ",Unemployment,Car,Suburban,14.57," Rp14,570,000 ",7.45," Rp7,450,000.00 "
38,8.18," Rp8,180,000 ",Bachelor,1,Owned,4.96," Rp4,960,000 ",21.27," Rp21,270,000 ",Unemployment,Motorcycle and Car,Rural,0.04," Rp40,000 ",2.32," Rp2,320,000.00 "
33,7.25," Rp7,250,000 ",SHS,2,Leased,4.73," Rp4,730,000 ",12.36," Rp12,360,000 ",Employment,Motorcycle,Urban,6.81," Rp6,810,000 ",1.61," Rp1,610,000.00 "
62,2.16," Rp2,160,000 ",JHS,2,Contract,1.93," Rp1,930,000 ",35.0," Rp35,000,000 ",Student,Motorcycle,Urban,30.55," Rp30,550,000 ",3.66," Rp3,660,000.00 "
35,5.21," Rp5,210,000 ",Diploma,1,Contract,4.64," Rp4,640,000 ",2.07," Rp2,070,000 ",Employment,Motorcycle,Urban,30.71," Rp30,710,000 ",3.23," Rp3,226,721.78 "
64,49.66," Rp49,660,000 ",Doctoral,2,Contract,5.58," Rp5,580,000 ",5.3," Rp5,300,000 ",Unemployment,Motorcycle,Urban,13.49," Rp13,490,000 ",12.48," Rp12,480,000.00 "
41,48.67," Rp48,670,000 ",Diploma,5,Owned,2.24," Rp2,240,000 ",31.32," Rp31,320,000 ",Unemployment,No Vehicle,Urban,17.82," Rp17,820,000 ",4.29," Rp4,290,000.00 "
43,17.99," Rp17,990,000 ",ES,6,Owned,15.04," Rp15,040,000 ",37.84," Rp37,840,000 ",Retired,Motorcycle,Rural,3.68," Rp3,680,000 ",13.38," Rp13,380,000.00 "
42,4.01," Rp4,010,000 ",ES,2,Leased,1.51," Rp1,510,000 ",15.07," Rp15,070,000 ",Student,Motorcycle,Urban,6.18," Rp6,180,000 ",14.56," Rp14,560,000.00 "
62,1.77," Rp1,770,000 ",SHS,3,Owned,1.63," Rp1,630,000 ",0.4," Rp400,000 ",Unemployment,Motorcycle,Suburban,53.5," Rp53,500,000 ",3.94," Rp3,940,000.00 "
58,3.47," Rp3,470,000 ",JHS,2,Owned,5.26," Rp5,264,960 ",5.30," Rp5,297,900 ",Retired,Motorcycle,Suburban,0.00, Rp-   ,3.44," Rp3,440,000.00 "
46,16.15," Rp16,150,000 ",Bachelor,4,Owned,17.21," Rp17,210,000 ",9.99," Rp9,987,448 ",Student,Motorcycle and Car,Urban,0.46," Rp460,000 ",1.8," Rp1,800,000.00 "
32,2.93," Rp2,930,000 ",Bachelor,4,Owned,1.94," Rp1,940,000 ",0.81," Rp810,000 ",Retired,Motorcycle,Suburban,0.00, Rp-   ,8.54," Rp8,540,000.00 "
62,11.13," Rp11,130,000 ",SHS,2,Leased,5.55," Rp5,550,000 ",9.94," Rp9,935,913 ",Unemployment,Motorcycle,Urban,8.67," Rp8,670,000 ",14.67," Rp14,670,000.00 "
18,11.65," Rp11,650,000 ",SHS,1,Contract,10.5," Rp10,500,000 ",10.83," Rp10,830,000 ",Self-Employment,Motorcycle and Car,Suburban,4.67," Rp4,670,000 ",0.97," Rp970,000.00 "
42,3.16," Rp3,160,000 ",JHS,2,Leased,2.52," Rp2,520,000 ",4.21," Rp4,210,000 ",Self-Employment,Motorcycle,Urban,2.69," Rp2,690,000 ",7.66," Rp7,660,000.00 "
24,1.43," Rp1,430,000 ",Master,2,Owned,0.65," Rp650,000 ",32.35," Rp32,350,000 ",Student,Motorcycle,Rural,3.86," Rp3,860,000 ",1.01," Rp1,010,000.00 "
26,7.45," Rp7,450,000 ",SHS,1,Owned,7.78," Rp7,780,000 ",12.24," Rp12,240,000 ",Unemployment,Motorcycle,Rural,31.93," Rp31,930,000 ",0.98," Rp980,000.00 "
41,2.87," Rp2,870,000 ",Diploma,4,Parents,2.03," Rp2,030,000 ",18.72," Rp18,720,000 ",Employment,Motorcycle and Car,Urban,3.88," Rp3,880,000 ",1.52," Rp1,520,000.00 "
18,8.64," Rp8,640,000 ",Bachelor,2,Owned,3.78," Rp3,780,000 ",34.65," Rp34,650,000 ",Retired,Motorcycle,Urban,0.00, Rp-   ,5.89," Rp5,890,000.00 "
61,3.92," Rp3,920,000 ",Diploma,0,Leased,3.98," Rp3,980,000 ",14.78," Rp14,780,000 ",Retired,No Vehicle,Suburban,6.0," Rp6,000,000 ",0.36," Rp360,000.00 "
25,4.32," Rp4,320,000 ",SHS,3,Owned,8.13," Rp8,128,606 ",2.34," Rp2,340,000 ",Unemployment,Motorcycle and Car,Urban,1.75," Rp1,750,000 ",1.93," Rp1,930,000.00 "
41,8.52," Rp8,520,000 ",SHS,1,Contract,9.98," Rp9,980,000 ",66.35," Rp66,350,000 ",Student,Motorcycle,Suburban,4.93," Rp4,930,000 ",3.72," Rp3,720,000.00 "
28,3.41," Rp3,410,000 ",Diploma,4,Leased,2.38," Rp2,380,000 ",6.75," Rp6,750,000 ",Employment,Motorcycle,Suburban,10.4," Rp10,400,000 ",7.97," Rp7,970,000.00 "
68,3.93," Rp3,930,000 ",Diploma,2,Leased,3.75," Rp3,750,000 ",103.17," Rp103,170,000 ",Self-Employment,Motorcycle,Rural,3.0," Rp3,000,000 ",2.03," Rp2,030,000.00 "
34,3.36," Rp3,360,000 ",SHS,4,Contract,2.37," Rp2,370,000 ",8.67," Rp8,672,338 ",Retired,Motorcycle,Urban,9.75," Rp9,750,000 ",3.45," Rp3,450,000.00 "
25,3.29," Rp3,290,000 ",JHS,5,Contract,1.54," Rp1,540,000 ",13.22," Rp13,220,000 ",Student,Motorcycle,Suburban,0.00, Rp-   ,4.96," Rp4,960,000.00 "
52,4.73," Rp4,730,000 ",SHS,2,Parents,4.65," Rp4,650,000 ",24.41," Rp24,410,000 ",Self-Employment,No Vehicle,Urban,15.45," Rp15,450,000 ",1.48," Rp1,480,000.00 "
52,9.27," Rp9,270,000 ",SHS,0,Owned,7.30," Rp7,295,240 ",7.32," Rp7,316,615 ",Student,Car,Suburban,27.72," Rp27,720,000 ",13.29," Rp13,290,000.00 "
50,3.25," Rp3,250,000 ",Diploma,4,Contract,2.97," Rp2,970,000 ",30.31," Rp30,310,000 ",Retired,Motorcycle,Urban,5.88," Rp5,880,000 ",2.25," Rp2,250,000.00 "
22,4.71," Rp4,710,000 ",Master,1,Leased,2.5," Rp2,500,000 ",5.9," Rp5,900,000 ",Retired,Car,Suburban,33.11," Rp33,110,000 ",6.88," Rp6,880,000.00 "
59,6.55," Rp6,550,000 ",ES,3,Leased,8.81," Rp8,808,183 ",5.58," Rp5,580,000 ",Self-Employment,Motorcycle,Urban,0.00, Rp-   ,5.5," Rp5,500,000.00 "
56,2.57," Rp2,570,000 ",Bachelor,3,Contract,1.83," Rp1,830,000 ",8.82," Rp8,820,000 ",Employment,Motorcycle,Rural,12.44," Rp12,440,000 ",2.02," Rp2,022,001.38 "
58,2.63," Rp2,630,000 ",JHS,1,Contract,2.72," Rp2,720,000 ",2.34," Rp2,340,000 ",Employment,Motorcycle,Urban,7.16," Rp7,160,000 ",2.62," Rp2,620,000.00 "
45,14.55," Rp14,550,000 ",SHS,4,Owned,12.4," Rp12,400,000 ",22.15," Rp22,150,000 ",Unemployment,Motorcycle,Rural,0.00, Rp-   ,10.03," Rp10,030,000.00 "
24,7.43," Rp7,430,000 ",SHS,3,Owned,2.66," Rp2,660,000 ",56.69," Rp56,690,000 ",Retired,Motorcycle,Suburban,28.09," Rp28,090,000 ",7.66," Rp7,660,000.00 "
26,5.3," Rp5,300,000 ",Bachelor,1,Parents,5.09," Rp5,090,000 ",20.55," Rp20,550,000 ",Student,Motorcycle,Rural,35.01," Rp35,010,000 ",4.15," Rp4,150,000.00 "
25,6.22," Rp6,220,000 ",Bachelor,1,Leased,5.11," Rp5,110,000 ",15.24," Rp15,240,000 ",Student,Motorcycle,Suburban,18.45," Rp18,450,000 ",1.88," Rp1,880,000.00 "
29,1.15," Rp1,150,000 ",Diploma,4,Owned,0.99," Rp990,000 ",14.0," Rp14,000,000 ",Student,Motorcycle,Urban,6.23," Rp6,230,000 ",4.09," Rp4,090,000.00 "
51,5.81," Rp5,810,000 ",Bachelor,0,Leased,3.59," Rp3,590,000 ",17.96," Rp17,960,000 ",Unemployment,No Vehicle,Urban,1.88," Rp1,880,000 ",0.45," Rp450,000.00 "
50,4.56," Rp4,560,000 ",Master,2,Leased,3.65," Rp3,650,000 ",24.8," Rp24,800,000 ",Self-Employment,Car,Urban,0.94," Rp940,000 ",3.9," Rp3,900,000.00 "
65,4.95," Rp4,950,000 ",Master,1,Contract,3.14," Rp3,140,000 ",31.69," Rp31,690,000 ",Employment,Motorcycle,Rural,7.02," Rp7,020,000 ",6.01," Rp6,010,000.00 "
40,3.23," Rp3,230,000 ",Bachelor,1,Parents,1.21," Rp1,210,000 ",23.97," Rp23,970,000 ",Self-Employment,Motorcycle,Rural,3.64," Rp3,640,000 ",12.7," Rp12,700,000.00 "
41,1.42," Rp1,420,000 ",SHS,3,Parents,1.51," Rp1,510,000 ",24.42," Rp24,420,000 ",Self-Employment,No Vehicle,Suburban,19.44," Rp19,440,000 ",6.33," Rp6,330,000.00 "
54,2.07," Rp2,070,000 ",JHS,4,Owned,1.88," Rp1,880,000 ",60.62," Rp60,620,000 ",Unemployment,No Vehicle,Suburban,0.00, Rp-   ,1.34," Rp1,340,000.00 "
52,16.05," Rp16,050,000 ",JHS,1,Contract,14.5," Rp14,500,000 ",45.92," Rp45,920,000 ",Employment,Motorcycle,Suburban,25.35," Rp25,350,000 ",0.27," Rp270,000.00 "
